Number,Class,Proper Shipping Name,Health,Fire,Reactivity,Special
1766,8,Dichlorophenyltrichlorosilane,,,,
1767,8,Diethyldichlorosilane,,,,
1768,8,"Difluorophosphoric acid, anhydrous",,,,
1769,8,Diphenyldichlorosilane,,,,
1770,8,Diphenylmethyl bromide,,,,
1771,8,Dodecyltrichlorosilane,,,,
1773,8,"Ferric chloride, anhydrous",,,,
1774,8,"Fire extinguisher charges, corrosive liquid",,,,
1775,8,Fluoroboric acid,,,,
1776,8,Fluorophosphoric acid anhydrous,,,,
1777,8,Fluorosulfonic acid,,,,
1778,8,Fluorosilicic acid,,,,
1779,8,Formic acid,3,2,0,
1780,8,Fumaryl chloride,,,,
1781,8,Hexadecyltrichlorosilane,,,,
1782,8,Hexafluorophosphoric acid,,,,
1783,8,Hexamethylenediamine solution,,,,
1784,8,Hexyltrichlorosilane,,,,
1786,8,Hydrofluoric acid and Sulfuric acid mixtures,,,,
1787,8,Hydriodic acid,,,,
1788,8,"Hydrobromic acid, with more than 49 percent hydrobromic acid or Hydrobromic acid, with not more than 49 percent hydrobromic acid",3,0,0,
1789,8,Hydrochloric acid,,,,
1790,8,"Hydrofluoric acid, with more than 60 percent strength or Hydrofluoric acid, with not more than 60 percent strength",,,,
1791,8,Hypochlorite solutions,,,,
1792,8,"Iodine monochloride, solid",,,,
1793,8,Isopropyl acid phosphate,,,,
1794,8,Lead sulfate with more than 3 percent free acid,,,,
1796,8,"Nitrating acid mixtures, with more than 50 percent nitric acid or Nitrating acid mixtures, with not more than 50 percent nitric acid",,,,
1798,8,Nitrohydrochloric acid,,,,
1799,8,Nonyltrichlorosilane,,,,
1800,8,Octadecyltrichlorosilane,,,,
1801,8,Octyltrichlorosilane,,,,
1802,8,Perchloric acid with not more than 50 percent acid by mass,,,,
1803,8,"Phenolsulfonic acid, liquid",,,,
1804,8,Phenyltrichlorosilane,,,,
1805,8,Phosphoric acid,,,,
1806,8,Phosphorus pentachloride,3,0,2,w
1807,8,Phosphorus pentoxide,,,,
1808,8,Phosphorus tribromide,3,0,2,w
1809,6.1,Phosphorus trichloride,3,0,2,w
1810,8,Phosphorus oxychloride,3,0,2,w
1811,8,"Potassium hydrogendifluoride, solid or Potassium hydrogendifluoride, solution",,,,
1812,8,Potassium fluoride,,,,
1813,8,"Potassium hydroxide, solid",3,0,1,
1814,8,"Potassium hydroxide, solution",3,0,1,
1815,3,Propionyl chloride,,,,
1816,8,Propyltrichlorosilane,3,3,1,
1817,8,Pyrosulfuryl chloride,,,,
1818,8,Silicon tetrachloride,3,0,2,w
1819,8,"Sodium aluminate, solution",,,,
1823,8,"Sodium hydroxide, solid",3,0,1,
1824,8,Sodium hydroxide solution,3,0,1,
1825,8,Sodium monoxide,,,,
1826,8,"Nitrating acid mixtures, spent with more than 50 percent nitric acid or Nitrating acid mixtures, spent with not more than 50 percent nitric acid",,,,
1827,8,"Stannic chloride, anhydrous",,,,
1828,8,Sulfur chlorides,,,,
1829,8,"Sulfur trioxide, inhibited or Sulfur trioxide, stabilized",,,,
1830,8,Sulfuric acid with more than 51 percent acid,,,,
1831,8,"Sulfuric acid, fuming with 30 percent or more free sulfur trioxide or Sulfuric acid, fuming with less than 30 percent free sulfur trioxide",,,,
1832,8,"Sulfuric acid, spent",,,,
1833,8,Sulfurous acid,,,,
1834,8,Sulfuryl chloride,3,0,1,
1835,8,Tetramethylammonium hydroxide,,,,
1836,8,Thionyl chloride,3,0,2,w
1837,8,Thiophosphoryl chloride,,,,
1838,8,Titanium tetrachloride,3,0,2,w
1839,8,Trichloroacetic acid,,,,
1840,8,"Zinc chloride, solution",,,,
1841,9,Acetaldehyde ammonia,,,,
1843,6.1,Ammonium dinitro-o-cresolate,,,,
1845,9,"Carbon dioxide, solid, also called Dry ice",,,,
1846,8,Carbon tetrachloride,3,0,0,
1847,8,"Potassium sulfide, hydrated with not less than 30 percent water of crystallization",3,1,0,
1848,8,Propionic acid,2,2,0,
1849,6.1,"Sodium sulfide, hydrated with not less than 30 percent water",,,,
1851,6.1,"Medicine, liquid, toxic, n.o.s.",,,,
1854,4.2,"Barium alloys, pyrophoric",,,,
1855,4.2,"Calcium, pyrophoric or Calcium alloys, pyrophoric",,,,
1856,4.2,"Rags, oily",,,,
1857,4.2,"Textile waste, wet",,,,
1858,2,"Hexafluoropropylene, compressed or Refrigerant gas R 1216",,,,
1859,2,"Silicon tetrafluoride, compressed",3,0,2,w
1860,3,"Vinyl fluoride, inhibited",,,,
1862,3,Ethyl crotonate,,,,
1863,3,"Fuel, aviation, turbine engine",,,,
1865,3,n-Propyl nitrate,,,,
1866,3,"Resin solution, flammable",,,,
1868,4.1,Decaborane,3,2,1,
1869,4.3,"Magnesium or Magnesium alloys with more than 50 percent magnesium in pellets, turnings, or ribbons",,,,
1870,4.1,Potassium borohydride,,,,
1871,5.1,Titanium hydride,,,,
1872,5.1,Lead dioxide,,,,
1873,5.1,"Perchloric acid with more than 50 percent but not more than 72 percent acid, by mass",3,0,3,ox
1884,6.1,Barium oxide,,,,
1885,6.1,Benzidine,,,,
1886,6.1,Benzylidene chloride,,,,
1887,6.1,Bromochloromethane,,,,
1888,6.1,Chloroform,2,0,0,
1889,6.1,Cyanogen bromide,3,0,1,
1891,6.1,Ethyl bromide,,,,
1892,6.1,Ethyldichloroarsine,,,,
1894,6.1,Phenylmercuric hydroxide,,,,
1895,6.1,Phenylmercuric nitrate,,,,
1897,6.1,Tetrachloroethylene,2,0,0,
1898,8,Acetyl iodide,,,,
1902,8,Diisooctyl acid phosphate,,,,
1903,8,"Disinfectants, liquid, corrosive, n.o.s.",,,,
1905,8,Selenic Acid,,,,
1906,8,Sludge Acid,,,,
1907,8,Soda lime with more than 4 percent sodium hydroxide,,,,
1908,8,Chlorite solution,,,,
1910,8,Calcium oxide,1,0,1,
1911,2,"Diborane, compressed",3,4,3,w
1912,2,Methyl chloride and methylene chloride mixtures,2,4,0,
1913,2,"Neon, refrigerated liquid (cryogenic liquid)",,,,
1914,3,Butyl propionates,,,,
1915,3,Cyclohexanone,1,2,0,
1916,6.1,"2,2'-Dichlorodiethyl ether",,,,
1917,3,"Ethyl acrylate, inhibited",2,3,2,
1918,3,Isopropylbenzene,,,,
1919,3,"Methyl acrylate, inhibited",2,3,2,
1920,3,Nonanes,,,,
1921,3,"Propyleneimine, inhibited",,,,
1922,3,Pyrrolidine,,,,
1923,4.2,Calcium dithionite or Calcium hydrosulfite,,,,
1928,4.3,"Methyl magnesium bromide, in ethyl ether",,,,
1929,4.2,Potassium dithionite or Potassium hydrosulfite,,,,
1931,9,Zinc dithionite or Zinc hydrosulfite,,,,
1932,4.2,Zirconium scrap,,,,
1935,6.1,"Cyanide solutions, n.o.s.",,,,
1938,8,"Bromoacetic acid, solution or Bromoacetic acid, solid",,,,
1939,8,Phosphorus oxybromide,,,,
1940,8,Thioglycolic acid,,,,
1941,9,"Dibromodifluoromethane, R12B2",,,,
1942,5.1,"Ammonium nitrate, with not more than 0.2 percent of combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance",,,,
1944,4.1,"Matches, safety (book, card, or strike on box)",,,,
1945,4.1,"Matches, wax, Vesta",,,,
1950,2,"Aerosols, corrosive, Packing Group II or III, (each not exceeding 1 L capacity) or Aerosols, flammable (each not exceeding 1 L capacity) or Aerosols, flammable, n.o.s. (engine starting fluid) (each not exceeding 1 L capacity) or Aerosols, nonflammable (each not exceeding 1 L capacity) or Aerosols, toxic, (each not exceeding 1 L capacity)",,,,
1951,2,"Argon, refrigerated liquid (cryogenic liquid)",,,,
1952,2,Ethylene oxide and carbon dioxide mixtures with not more than 9 percent ethylene oxide,,,,
1953,2,"Compressed gas, toxic, flammable, n.o.s. Inhalation Hazard Zone A, B, C, or D",,,,
1954,2,"Compressed gas, flammable, n.o.s.",,,,
1955,2,"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone A, B, C, or D",,,,
1956,2,"Compressed gas, n.o.s.",,,,
1957,2,"Deuterium, compressed",,,,
1958,2,"1,2-dichloro-1,1,2,2-tetrafluoroethane or Refrigerant gas R 114",,,,
1959,2,"1,1-Difluoroethylene or Refrigerant gas R 1132a",,,,
1961,2,"Ethane, refrigerated liquid",,,,
1962,2,"Ethylene, compressed",,,,
1963,2,"Helium, refrigerated liquid (cryogenic liquid)",,,,
1964,2,"Hydrocarbon gas mixture, compressed, n.o.s.",,,,
1965,2,"Hydrocarbon gas mixtures, liquefied, n.o.s.",,,,
1966,2,"Liquid hydrogen, refrigerated liquid (cryogenic liquid)",,,,
1967,2,"Insecticide gases, toxic, n.o.s.",,,,
1968,2,"Insecticide gases, n.o.s.",,,,
1969,2,"Isobutane see also Petroleum gases, liquified",,,,
1970,2,"Krypton, refrigerated liquid (cryogenic liquid)",,,,
1971,2,"Methane, compressed or Natural gas, compressed (with high methane content)",,,,
1972,2,"Methane, refrigerated liquid (cryogenic liquid) or Natural gas, refrigerated liquid (cryogenic liquid), with high methane content",,,,
1973,2,"Chlorodifluoromethane and chloropentafluoroethane mixture or Refrigerant gas R 502 with fixed boiling point, with approximately 49 percent chlorodifluoromethane",,,,
1974,2,Chlorodifluorobromomethane or Refrigerant gas R 12B1,,,,
1975,2,Nitric oxide and dinitrogen tetroxide mixtures or Nitric oxide and nitrogen dioxide mixtures,,,,
1976,2,"Octafluorocyclobutane, or Refrigerant gas RC 318",,,,
1977,2,"Nitrogen, refrigerated liquid cryogenic liquid",3,0,0,
1978,2,"Propane see also Petroleum gases, liquefied",,,,
1982,2,"Tetrafluoromethane, compressed or Refrigerant gas R 14",,,,
1983,2,"1-Chloro-2,2,2-trifluoroethane or Refrigerant gas R133a",,,,
1984,2,Trifluoromethane or Refrigerant gas R 23,,,,
1986,3,"Alcohols, flammable, toxic, n.o.s.",,,,
1987,3,"Alcohols, (Ethanol), n.o.s.",,,,
1988,3,"Aldehydes, flammable, toxic, n.o.s.",,,,
1989,3,"Aldehydes, n.o.s.",,,,
1990,9,Benzaldehyde,2,2,0,
1991,3,"Chloroprene, inhibited",,,,
1992,3,"Flammable liquids, toxic, n.o.s.",,,,
1993,3,"Flammable liquids, n.o.s.",,,,
1994,6.1,Iron pentacarbonyl,,,,
1995,,Propane,,,,
1999,3,"Tars, liquid including road asphalt and oils, bitumen and cut backs",,,,
2000,4.1,"Celluloid, in block, rods, rolls, sheets, tubes, etc., except scrap",,,,
2001,4.1,"Cobalt naphthenates, powder",,,,
2002,4.2,"Celluloid, scrape",,,,
2004,4.2,Magnesium diamide,,,,
2006,4.2,"Plastics, nitrocellulose-based, self-heating, n.o.s.",,,,
2008,4.2,"Zirconium powder, dry",,,,
2009,4.2,"Zirconium, dry, finished sheets, strip or coiled wire",,,,
2010,4.3,Magnesium hydride,,,,
2011,4.3,Magnesium phosphide,,,,
2012,4.3,Potassium phosphide,,,,
2013,4.3,Strontium phosphide,,,,
2014,5.1,"Hydrogen peroxide, aqueous solutions with more than 20 percent but not more than 60 percent hydrogen peroxide (stabilized as necessary)",,,,
2015,5.1,"Hydrogen peroxide, stabilized or Hydrogen peroxide aqueous solutions, stabilized with more than 60 percent hydrogen peroxide",,,,
2016,6.1,"Ammunition, toxic, non-explosive, without burster or expelling charge, non-fuzed",,,,
2017,6.1,"Ammunition, tear-producing, non-explosive, without burster or expelling charge, non-fuzed",,,,
2018,6.1,"Chloroanilines, solid",,,,
2019,6.1,"Chloroanilines, liquid",,,,
2020,6.1,"Chlorophenols, solid",3,1,0,
2021,6.1,"Chlorophenols, liquid",3,2,0,
2022,6.1,Cresylic acid,,,,
2023,6.1,Epichlorohydrin,3,3,2,
2024,6.1,"Mercury compounds, liquid, n.o.s.",,,,
2025,6.1,"Mercury compounds, solid, n.o.s.",,,,
2026,6.1,"Phenylmercuric compounds, n.o.s.",,,,
2027,6.1,"Sodium arsenite, solid",,,,
2028,8,"Bombs, smoke, non-explosive, with corrosive liquid, without initiating device",,,,
2029,8,"Hydrazine, anhydrous",3,3,3,
2030,8,"Hydrazine aqueous solution, with more than 37 percent hydrazine, by mass",,,,
2031,8,"Nitric acid other than red fuming, with more than 70 percent nitric acid or Nitric acid other than red fuming, with not more than 70 percent nitric acid",,,,
2032,8,"Nitric acid, red fuming",,,,
2033,8,Potassium monoxide,,,,
2034,2,"Hydrogen and Methane mixtures, compressed",,,,
2035,2,"1,1,1-Trifluoroethane, compressed or Refrigerant gas R 143a",,,,
2036,2,"Xenon, compressed",,,,
2037,2,"Gas cartridges (flammable) without a release device, non-refillable or Receptacles, small, containing gas (gas cartridges) flammable or nonflammable, without release device, not refillable and not exceeding 1 L capacity",,,,
2038,6.1,"Dinitrotoluenes, liquid or Dinitrotoluenes, solid",3,1,3,
2044,2,"2,2-Dimethylpropane",,,,
2045,3,Isobutyraldehyde or Isobutyl aldehyde,,,,
2046,3,Cymenes,,,,
2047,3,Dichloropropenes,3,3,0,
2048,3,Dicyclopentadiene,,,,
2049,3,Diethylbenzene,,,,
2050,3,"Diisobutylene, isomeric compounds",,,,
2051,8,2-Dimethylaminoethanol,,,,
2052,3,Dipentene,,,,
2053,3,Methyl isobutyl carbinol,,,,
2054,3,Morpholine,2,3,0,
2055,3,"Styrene monomer, inhibited",2,3,2,
2056,3,Tetrahydrofuran,2,3,1,
2057,3,Tripropylene,,,,
2058,3,Valeraldehyde,,,,
2059,3,"Nitrocellulose, solution, flammable with not less than 12.6 percent nitrogen, by mass, and not more than 55 percent nitrocellulose",,,,
2067,5.1,"Ammonium nitrate fertilizers; uniform non-segregating mixtures of ammonium nitrate with added matter which is inorganic and chemically inert towards ammonium nitrate, with not less than 90 percent ammonium nitrate and not more than 0.2 percent combustible",,,,
2071,9,"Ammonium nitrate fertilizers: uniform non-segregating mixtures of nitrogen/phosphate or nitrogen/potash types or complete fertilizers of nitrogen/phosphate/potash type, with not more than 70 percent ammonium nitrate and not more than 0.4 percent total combustible/organic material calculated as carbon or with not more than 45 percent ammonium nitrate and unrestricted combustible material",,,,
2073,2.2,"Ammonia solution, relative density less than 0.880 at 15 °C in water, with more than 35 percent but not more than 50 percent ammonia",,,,
2074,6.1,"Acrylamide, Solid",3,2,2,
2075,6.1,"Chloral, anhydrous, inhibited",,,,
2076,6.1,Cresols,3,2,0,
2077,6.1,alpha-Naphthylamine,,,,
2078,6.1,Toluene diisocyanate,,,,
2079,8,Diethylenetriamine,3,1,0,
2186,2,"Hydrogen chloride, refrigerated liquid",,,,
2187,2,"Carbon dioxide, refrigerated liquid",,,,
2188,2,Arsine,4,4,2,
2189,2,Dichlorosilane,3,4,2,w
2190,2,"Oxygen difluoride, compressed",,,,
2191,2,Sulfuryl fluoride,,,,
2192,2,Germane,4,4,3,
2193,2,"Hexafluoroethane, compressed or Refrigerant gas R 116",,,,
2194,2,Selenium hexafluoride,,,,
2195,2,Tellurium hexafluoride,,,,
2196,2,Tungsten hexafluoride,,,,
2197,2,"Hydrogen iodide, anhydrous",,,,
2198,2,"Phosphorus pentafluoride, compressed",,,,
2199,2,Phosphine,,,,
2200,2,"Propadiene, inhibited",,,,
2201,2,"Nitrous oxide, refrigerated liquid",,,,
2202,2,"Hydrogen selenide, anhydrous",,,,
2203,2,"Silane, compressed",2,4,3,
2204,2,Carbonyl sulfide,,,,
2205,6.1,Adiponitrile,4,2,1,
2206,6.1,"Isocyanates, toxic, n.o.s. or Isocyanate solutions, toxic, n.o.s. flashpoint more than 61 °C and boiling point less than 300 °C",,,,
2208,5.1,"Calcium hypochlorite mixtures, dry, with more than 10 percent but not more than 39 percent available chlorine",,,,
2209,8,"Formaldehyde, solutions, with not less than 25 percent formaldehyde",,,,
2210,4.2,Maneb or Maneb preparations with not less than 60 percent maneb,,,,
2211,9,"Polymeric beads, expandable, evolving flammable vapor",,,,
2212,9,"Blue asbestos (Crocidolite) or Brown asbestos (amosite, mysorite)",,,,
2213,4.1,Paraformaldehyde,2,1,0,
2214,8,Phthalic anhydride with more than .05 percent maleic anhydride,2,1,0,
2215,8,Maleic anhydride,3,1,1,
2216,9,"Fish meal, stabilized or Fish scrap, stabilized",,,,
2217,4.2,Seed cake with not more than 1.5 percent oil and not more than 11 percent moisture,,,,
2218,8,"Acrylic acid, inhibited",3,2,2,
2219,3,Allyl glycidyl ether,,,,
2222,3,Anisole,,,,
2224,6.1,Benzonitrile,,,,
2225,8,Benzenesulfonyl chloride,,,,
2226,8,Benzotrichloride,,,,
2227,3,"n-Butyl methacrylate, inhibited",,,,
2232,6.1,2-Chloroethanal,,,,
2233,6.1,Chloroanisidines,,,,
2234,3,Chlorobenzotrifluorides,,,,
2235,6.1,"Chlorobenzyl chlorides, liquid",,,,
2236,6.1,3-Chloro-4-methylphenyl isocyanate,,,,
2237,6.1,Chloronitroanilines,,,,
2238,3,Chlorotoluenes,,,,
2239,6.1,"Chlorotoluidines, solid",,,,
2240,8,Chromosulfuric acid,,,,
2241,3,Cycloheptane,,,,
2242,3,Cycloheptene,,,,
2243,3,Cyclohexyl acetate,,,,
2244,3,Cyclopentanol,,,,
2245,3,Cyclopentanone,,,,
2246,3,Cyclopentene,,,,
2247,3,n-Decane,,,,
2248,8,Di-n-butylamine,,,,
2249,6.1,"Dichlorodimethyl ether, symmetrical",,,,
2250,6.1,Dichlorophenyl isocyanates,,,,
2251,3,"Bicyclo [2,2,1] hepta-2, 5-diene, inhibited or 2,5-Norbornadiene, inhibited",,,,
2252,3,"1,2-Dimethoxyethane",,,,
2253,6.1,"N,N-Dimethylaniline",,,,
2254,4.1,"Matches, Fusee",,,,
2256,3,Cyclohexene,,,,
2257,4.3,Potassium,,,,
2258,8,"1,2-Propylenediamine",,,,
2259,8,Triethylenetetramine,,,,
2260,3,Tripropylamine,,,,
2261,6.1,Xylenols,,,,
2262,8,Dimethylcarbamoyl chloride,,,,
2263,3,Dimethylcyclohexanes,,,,
2264,8,Dimethylcyclohexylamine,,,,
2265,3,"N,N-Dimethylformamide",,,,
2266,3,Dimethyl-N-propylamine,,,,
2267,6.1,Dimethyl thiophosphoryl chloride,,,,
2269,8,"3,3'-Iminodipropylamine",,,,
2270,3,"Ethylamine, aqueous solution with not less than 50 percent but not more than 70 percent ethylamine",,,,
2271,3,Ethyl amyl ketone,,,,
2272,6.1,N-Ethylaniline,,,,
2273,6.1,2-Ethylaniline,,,,
2274,6.1,N-Ethyl-N-benzylaniline,,,,
2275,3,2-Ethylbutanol,,,,
2276,3,2-Ethylhexylamine,,,,
2277,3,Ethyl methacrylate,,,,
2278,3,n-Heptane,,,,
2279,6.1,Hexachlorobutadiene,,,,
2280,8,"Hexamethylenediamine, solid",,,,
2281,6.1,Hexamethylene diisocyanate,,,,
2282,3,Hexanols,1,2,0,
2283,3,"Isobutyl methacrylate, inhibited",,,,
2284,3,Isobutyronitrile,,,,
2285,6.1,Isocyanatobenzotrifluorides,,,,
2286,3,Pentamethylheptane,,,,
2287,3,Isoheptenes,,,,
2288,3,Isohexenes,,,,
2289,8,Isophoronediamine,,,,
2290,6.1,Isophorone diisocyanate,,,,
2291,6.1,"Lead compounds, soluble, n.o.s.",,,,
2293,3,4-Methoxy-4-methylpentan-2-one,,,,
2294,6.1,N-Methylaniline,,,,
2295,6.1,Methyl chloroacetate,,,,
2296,3,Methylcyclohexane,,,,
2297,3,Methylcyclohexanone,,,,
2298,3,Methylcyclopentane,,,,
2299,6.1,Methyl dichloroacetate,,,,
2300,6.1,2-Methyl-5-ethylpyridine,,,,
2301,3,2-Methylfuran,,,,
2302,3,5-Methylhexan-2-one,,,,
2303,3,Isopropenylbenzene,,,,
2304,4.1,"Naphthalene, molten",,,,
2305,8,Nitrobenzenesulfonic acid,,,,
2306,6.1,"Nitrobenzotrifluorides, liquid",,,,
2307,6.1,3-Nitro-4-chlorobenzotrifluoride,,,,
2308,8,Nitrosylsulfuric acid,,,,
2309,3,Octadiene,,,,
2310,3,"Pentane-2,4-dione",,,,
2311,6.1,Phenetidines,,,,
2312,6.1,"Phenol, molten",3,2,0,
2313,3,Picolines,,,,
2315,9,"Polychlorinated biphenyls, liquid",2,1,0,
2316,6.1,"Sodium cuprocyanide, solid",,,,
2317,6.1,"Sodium cuprocyanide, solution",,,,
2318,4.2,"Sodium hydrosulfide, with less than 25 percent water of crystallization",,,,
2319,3,"Terpene hydrocarbons, n.o.s.",,,,
2320,8,Tetraethylenepentamine,,,,
2321,6.1,"Trichlorobenzenes, liquid",,,,
2322,6.1,Trichlorobutene,,,,
2323,3,Triethyl phosphite,,,,
2324,3,Triisobutylene,,,,
2325,3,"1,3,5-Trimethylbenzene (Mesitylene)",,,,
2326,8,Trimethylcyclohexylamine,,,,
2327,8,Trimethylhexamethylenediamine,,,,
2328,6.1,Trimethylhexamethylene diisocyanate,,,,
2329,3,Trimethyl phosphite,,,,
2330,3,Undecane,,,,
2331,8,"Zinc chloride, anhydrous",,,,
2332,3,Acetaldehyde oxime,,,,
2333,3,Allyl acetate,,,,
2334,6.1,Allylamine,3,3,1,
2335,3,Allyl ethyl ether,,,,
2336,3,Allyl formate,,,,
2337,6.1,Phenyl mercaptan,,,,
2338,3,Benzotrifluoride,3,3,1,
2339,3,2-Bromobutane,,,,
2340,3,2-Bromoethyl ethyl ether,,,,
2341,3,1-Bromo-3-methylbutane,,,,
2342,3,Bromomethylpropanes,,,,
2343,3,2-Bromopentane,,,,
2344,3,Bromopropanes,,,,
2345,3,3-Bromopropyne,,,,
2346,3,Butanedione,,,,
2347,3,Butyl mercaptans,,,,
2348,3,"Butyl acrylates, inhibited",2,2,2,
2350,3,Butyl methyl ether,,,,
2351,3,Butyl nitrites,,,,
2352,3,"Butyl vinyl ether, inhibited",,,,
2353,3,Butyryl chloride,,,,
2354,3,Chloromethyl ethyl ether,,,,
2356,3,2-Chloropropane,,,,
2357,8,Cyclohexylamine,2,3,0,
2358,3,Cyclooctatetraene,,,,
2359,3,Diallylamine,,,,
2360,3,Diallylether,,,,
2361,3,Diisobutylamine,,,,
2362,3,"1,1-Dichloroethane",,,,
2363,3,Ethyl mercaptan,,,,
2364,3,n-Propylbenzene,,,,
2366,3,Diethyl carbonate,,,,
2367,3,alpha-Methylvaleraldehyde,,,,
2368,3,alpha-Pinene,,,,
2370,3,1-Hexene,,,,
2371,3,Isopentenes,,,,
2372,3,"1,2-Di-(dimethylamino)ethane",,,,
2373,3,Diethoxymethane,,,,
2374,3,"3,3-Diethoxypropene",,,,
2375,3,Diethyl sulfide,,,,
2376,3,"2,3-Dihydropyran",,,,
2377,3,"1,1-Dimethoxyethane",,,,
2378,3,2-Dimethylaminoacetonitrile,,,,
2379,3,"1,3-Dimethylbutylamine",,,,
2380,3,Dimethyldiethoxysilane,,,,
2381,3,Dimethyl disulfide,,,,
2382,6.1,"Dimethylhydrazine, symmetrical",3,3,1,
2383,3,Dipropylamine,,,,
2384,3,Di-n-propyl ether,,,,
2385,3,Ethyl isobutyrate,,,,
2386,3,1-Ethylpiperidine,,,,
2387,3,Fluorobenzene,,,,
2388,3,Fluorotoluenes,,,,
2389,3,Furan,,,,
2390,3,2-Iodobutane,,,,
2391,3,Iodomethylpropanes,,,,
2392,3,Iodopropanes,,,,
2393,3,Isobutyl formate,,,,
2394,3,Isobutyl propionate,,,,
2395,3,Isobutyryl chloride,,,,
2396,3,"Methacrylaldehyde, inhibited",,,,
2397,3,3-Methylbutan-2-one,,,,
2398,3,Methyl tert-butyl ether,,,,
2399,3,1-Methylpiperidine,,,,
2400,3,Methyl isovalerate,,,,
2401,8,Piperidine,,,,
2402,3,Propanethiols,,,,
2403,3,Isopropenyl acetate,,,,
2404,3,Propionitrile,,,,
2405,3,Isopropyl butyrate,,,,
2406,3,Isopropyl isobutyrate,,,,
2407,6.1,Isopropyl chloroformate,,,,
2409,3,Isopropyl propionate,,,,
2410,3,"1,2,3,6-Tetrahydropyridine",,,,
2411,3,Butyronitrile,,,,
2412,3,Tetrahydrothiophene,,,,
2413,3,Tetrapropylorthotitanate,,,,
2414,3,Thiophene,,,,
2416,3,Trimethyl borate,,,,
2417,2,"Carbonyl fluoride, compressed",,,,
2418,2,Sulfur tetrafluoride,,,,
2419,2,Bromotrifluoroethylene,,,,
2420,2,Hexafluoroacetone,,,,
2421,2,Nitrogen trioxide,,,,
2422,2,Octafluorobut-2-ene or Refrigerant gas R 1318,,,,
2424,2,Octafluoropropane or Refrigerant gas R 218,,,,
2426,5.1,"Ammonium nitrate, liquid (hot concentrated solution)",,,,
2427,5.1,"Potassium chlorate, aqueous solution",,,,
2428,5.1,"Sodium chlorate, aqueous solution",,,,
2429,5.1,Calcium chlorate aqueous solution,,,,
2430,8,"Alkylphenols, solid, n.o.s. (including C2-C12 homologues)",,,,
2431,6.1,Anisidines,,,,
2432,6.1,"N,N-Diethylaniline",,,,
2433,6.1,Chloronitrotoluenes liquid or Chloronitrotoluenes solid,,,,
2434,8,Dibenzyldichlorosilane,,,,
2435,8,Ethylphenyldichlorosilane,,,,
2436,3,Thioacetic acid,,,,
2437,8,Methylphenyldichlorosilane,,,,
2438,6.1,Trimethylacetyl chloride,,,,
2439,8,"Sodium hydrogendifluoride, solid or Sodium hydrogendifluoride, solution",,,,
2440,8,"Stannic chloride, pentahydrate",,,,
2441,4.2,"Titanium trichloride, pyrophoric or Titanium trichloride mixtures, pyrophoric",,,,
2442,8,Trichloroacetyl chloride,,,,
2443,8,Vanadium oxytrichloride,,,,
2444,8,Vanadium tetrachloride,3,0,2,w
2446,6.1,Nitrocresols,,,,
2447,4.2,"Phosphorus white, molten",,,,
2448,4.1,"Sulfur, molten",2,1,0,
2451,2,"Nitrogen trifluoride, compressed",,,,
2452,2,"Ethylacetylene, inhibited",,,,
2453,2,Ethyl fluoride or Refrigerant gas R 161,,,,
2454,2,"Methyl fluoride, or Refrigerant gas R 41",,,,
2455,2,Methyl nitrite,,,,
2456,3,2-Chloropropene,,,,
2457,3,"2,3-Dimethylbutane",,,,
2458,3,Hexadienes,,,,
2459,3,2-Methyl-1-butene,,,,
2460,3,2-Methyl-2-butene,,,,
2461,3,Methylpentadienes,,,,
2463,4.3,Aluminum hydride,,,,
2464,5.1,Beryllium nitrate,,,,
2465,5.1,"Dichloroisocyanuric acid, dry or Dichloroisocyanuric acid salts",,,,
2466,5.1,Potassium superoxide,,,,
2468,5.1,"Trichloroisocyanuric acid, dry",3,0,2,ox
2469,5.1,Zinc bromate,,,,
2470,6.1,"Phenylacetonitrile, liquid",,,,
2471,6.1,Osmium tetroxide,,,,
2473,6.1,Sodium arsanilate,,,,
2474,6.1,Thiophosgene,,,,
2475,8,Vanadium trichloride,,,,
2477,6.1,Methyl isothiocyanate,,,,
2478,3,"Isocyanates, flammable, toxic, n.o.s. or Isocyanate solutions, flammable, toxic, n.o.s. flashpoint less than 23 °C",,,,
2480,6.1,Methyl isocyanate,4,3,2,
2481,3,Ethyl isocyanate,,,,
2482,6.1,n-Propyl isocyanate,,,,
2483,3,Isopropyl isocyanate,,,,
2484,6.1,tert-Butyl isocyanate,,,,
2485,6.1,n-Butyl isocyanate,,,,
2486,3,Isobutyl isocyanate,,,,
2487,6.1,Phenyl isocyanate,,,,
2488,6.1,Cyclohexyl isocyanate,,,,
2490,6.1,Dichlorodiisopropyl ether,,,,
2491,8,Ethanolamine or Ethanolamine solutions,,,,
2493,3,Hexamethyleneimine,,,,
2495,5.1,Iodine pentafluoride,,,,
2496,8,Propionic anhydride,2,2,1,
2498,3,"1,2,3,6-Tetrahydrobenzaldehyde",,,,
2501,6.1,"Tris(1-aziridinyl)phosphine oxide, solution",,,,
2502,8,Valeryl chloride,,,,
2503,8,Zirconium tetrachloride,3,0,2,w
2504,6.1,Tetrabromoethane,,,,
2505,6.1,Ammonium fluoride,3,0,0,
2506,8,Ammonium hydrogen sulfate,,,,
2507,8,"Chloroplatinic acid, solid",,,,
